SEA,COUNTRY
True,Indonesia
True,Indonesia
True,Indonesia
True,Vietnam
True,Malaysia
True,Malaysia
True,Malaysia
True,Malaysia
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Indonesia
True,Indonesia
True,Indonesia
True,Indonesia
True,Indonesia
True,Indonesia
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Philippines
True,Philippines
True,Philippines
True,Philippines
True,Philippines
True,Indonesia
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Singapore
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Laos
True,Laos
True,Laos
True,Thailand
True,Thailand
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Malaysia
True,Philippines
True,Philippines
True,Philippines
True,Philippines
True,Philippines
True,Philippines
True,Indonesia
True,Singapore
True,Singapore
True,Thailand
True,Singapore
True,Vietnam
True,Philippines
True,Singapore
True,Malaysia
True,Malaysia
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Philippines
True,Malaysia
True,Indonesia
True,Indonesia
True,Indonesia
True,Indonesia
True,Indonesia
True,Malaysia
True,Malaysia
True,Malaysia
True,Malaysia
True,Malaysia
True,Myanmar
True,Myanmar
True,Cambodia
True,Cambodia
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Malaysia
True,Thailand
True,Thailand
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Myanmar
True,Laos
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
True,Vietnam
