COLLECTION_ID,ARTIST_ID,ACNO,WORK_TYPE,SOURCE,TITLE,SEARCH_NAME,FOREIGN_TITLE,FOREIGN_SEARCH_NAME,TITLE_PRE1997,LIST_TITLE,DATE_RANGE_TEXT,CREATE_YEAR_EARLY,CREATE_YEAR_SEQ,CREATE_YEAR_LATE,INSCRIPTION,OBJECT_TYPE,PARTS_COUNT,MEDIUM_LONG,SIGNED,ACQ_TEXT,ACQ_METHOD,ACQ_YEAR,BOARD_MONTH_YEAR,TG_STATUS,USUAL_LOC,FINBERG_NUMBER,FINBERG_ORDER,BOX_NUMBER,BOOK_NUMBER,PAGE_NUMBER,MOUNT,BLANK,ACQ_DATE,DIMENSIONS,DATE_CREATED,CREATED_BY,DISPLAY_STATUS,RAWLINSON_NUMBER,BY_APPOINTMENT,WILTON_NUMBER,BUTLINJOLL_NUMBER,COLLABORATION_COUNT,RELATED_COUNT,LOCATION_HISTORY,DISPLAY_ORDER,EDITION,ACCESSION_ISO_DATE,EXTENDED_MEDIUM,EXTENDED_CREDIT_LINE,DESCRIPTION,GROUP_TITLE,ARTIST_ID_1,ARTIST_MDA,ARTIST_FC,TITLE_1,FIRSTNAME,SURNAME,POST_SURNAME,SEARCH_NAME_1,START_LETTER,DATE_TEXT,YEAR_BIRTH_EARLY,YEAR_BIRTH_SEQ,YEAR_BIRTH_LATE,YEAR_DEATH_EARLY,YEAR_DEATH_SEQ,YEAR_DEATH_LATE,BRIT_FOR,CHAPTER,TG,ARCHIVE_AMOUNT,DATE_CREATED_1,CREATED_BY_1,ALPHASORT,GENDER,BIRTH_PLACE_ID,DEATH_PLACE_ID,SUBJECT_ID,Resource_ID,INFO_TYPE_ID,INFO_TYPE,STATUS,DATE_CREATED_2,PUBLICATION_DATE,TEXT_DATA,DATA_TYPE_ID,REF_TABLE_ID
229547,473,T14898,Main Collection,TMS,Possession Island (Abstraction),POSSESSIONISLAND(ABSTRACTION),,,,Possession Island (Abstraction),1991,1991.0,1991.0,1991.0,,painting,,Oil paint and acrylic paint on canvas,,"Tate and the Museum of Contemporary Art Australia, with support from the Qantas Foundation 2015, purchased 2016",purchased,2017.0,03-2016,accessioned work,,,,,,,,,,support: 1843 x 1845 mm,06-JAN-16,lf-24,On display,,N,,,1,0,Y,6701,,2017-12-15,Oil paint and acrylic paint on canvas,"Tate and the Museum of Contemporary Art Australia, with support from the Qantas Foundation 2015, purchased from Milani Gallery, Brisbane 2016",,,473,"Sandys, Frederick",Frederick Sandys,,Frederick,Sandys,,SANDYSFREDERICK,S,1829-1904,1829.0,1829.0,1829.0,1904.0,1904.0,1904.0,British,SANDYSF,Y,none,08-FEB-01,Conversion,SANDYS FREDERICK 1829 20010208,Male,7012005.0,7011781.0,,1198496,2.0,Display caption,H,03-JUN-21,2021-06-03,"
Kngwarreye was an Anmatyerre Elder. Her artwork focuses on the area where she lived - Alhalkere country, in the Utopia region of the Northern Territory. The dots and lines in her work often represent the vegetation, animals and landscape of the country, and relate to the Anmatyerre Creation Stories. Untitled (Alhalkere) is one of Kngwarreye’s earliest works using acrylic paint on canvas. She began painting with acrylic in late 1988, when she was already in her seventies. She had previously worked in batik, which is a wax-resist dyeing method originating in Indonesia.
",1.0,1.0
85280,1401,T12035,Main Collection,TMS,A Line in the Himalayas,ALINEINTHEHIMALAYAS,,,,A Line in the Himalayas,"1975, printed 2004",1975.0,1975.0,2004.0,,"on paper, unique",,Digital print on paper mounted onto aluminium,,Presented by the artist (Building the Tate Collection) 2005,presented,2005.0,03-2005,accessioned work,,,,,,,,,,"image: 860 x 1284 mm
frame: 871 x 1291 x 37 mm",08-MAR-05,cp-05,Not on display,,N,,,1,0,Y,55792,,2005-03-24,Digital print on paper,Presented by the artist (Building the Tate Collection) 2005,,,1401,"Kerr-Lawson, James",James Kerr-Lawson,,James,Kerr-Lawson,,KERR-LAWSONJAMES,K,1865-1939,1865.0,1865.0,1865.0,1939.0,1939.0,1939.0,British,KERRLAWJ,Y,none,08-FEB-01,Conversion,KERRLAWSON JAMES 1865 20010208,Male,1050381.0,7011781.0,,1096424,2.0,Display caption,C,08-APR-09,,"Since the 1960s Long has based his art on the action of walking in the natural landscape. He later extended this practice to creating sculptures using materials found in these landscapes, whether at the site itself or in the gallery. A Line in the Himalayas is one of several works that resulted from a walk in the Nepalese Himalayas that Long made in 1975. The photograph records a line of white stones arranged by the artist, which stretch towards the mountain peaks in the distance.",1.0,1.0
85280,1401,T12035,Main Collection,TMS,A Line in the Himalayas,ALINEINTHEHIMALAYAS,,,,A Line in the Himalayas,"1975, printed 2004",1975.0,1975.0,2004.0,,"on paper, unique",,Digital print on paper mounted onto aluminium,,Presented by the artist (Building the Tate Collection) 2005,presented,2005.0,03-2005,accessioned work,,,,,,,,,,"image: 860 x 1284 mm
frame: 871 x 1291 x 37 mm",08-MAR-05,cp-05,Not on display,,N,,,1,0,Y,55792,,2005-03-24,Digital print on paper,Presented by the artist (Building the Tate Collection) 2005,,,1401,"Kerr-Lawson, James",James Kerr-Lawson,,James,Kerr-Lawson,,KERR-LAWSONJAMES,K,1865-1939,1865.0,1865.0,1865.0,1939.0,1939.0,1939.0,British,KERRLAWJ,Y,none,08-FEB-01,Conversion,KERRLAWSON JAMES 1865 20010208,Male,1050381.0,7011781.0,,1088292,10.0,Summary,C,10-FEB-06,,"Since his earliest practice, begun in the late 1960s, Long has based his art on the action of walking in the natural landscape. With his seminal work, A Line Made By Walking 1967 (Tate P07149) – a photograph showing a straight line worn in a field of grass by the repeated movement of the artist’s feet over it – Long established the simple act of walking as a gesture of primordial mark-making fundamental to the creation of art. In the context of late 1960s conceptualism, Long’s act may be seen as a subversion of the traditionally expressive gesture central to painting. Walking is non-expressive, a mechanical movement which permits the body to travel from one point to another. In a similar way, the line joining one point to another is fundamental to the process of drawing – the logical means of connection on which cartography is based. Lines imposed on the environment are usually the result of processes of measuring, map-making and creating roads and are forced by the contours of the earth’s surface to compromise the ideal logic of straightness. Unlike lines on paper, they have to exist in three dimensions, taking on a physicality of their own and appearing different depending on where they are viewed from. They become sculptural forms.

In the 1970s Long extended his process of making transient marks on the landscape to include another primordial human activity: the collection and organisation of raw materials found within the environment. Over the decades he has extended the straight line to encompass the cross, the square, the circle, the spiral, concentric rings, parallel lines, the crooked line, the heap, the dribble, the scratch; every possible means of making marks in nature with what is to hand, using simple actions with the artist’s hands or feet, is covered in Long’s oeuvre. He has covered many different kinds of terrain, walking extensively in England, particularly in the south west around Bristol, which is his home, and travelling to far off, deserted and spectacular wild landscapes. 
 
The results of Long’s actions may be brought into the gallery and laid out on the floor, resulting in a sculptural work, or they are photographed in situ, resulting in a picture. A Line in the Himalayas is one of several photographs resulting from a walk Long undertook in the Nepalese Himalayas in 1975. It shows a rough rocky terrain and snow-covered jagged peaks – a harsh, barren landscape typical to places of high altitude. The sky is a deep, clear blue, tinting the snow and the white rocks. Beginning in the foreground and disappearing into the chaotic texture of dark mountain scree to the side of the image, a narrow raised line of white stones lies almost straight on the landscape. With no human or animal presence of any kind, it is hard to gauge the scale of the stones and rocky outcrops which appear to encompass a great distance: between the foreground and the mountains in the far distance there is no middle ground. 

Long photographed this line of stones twice. Another version of A Line in the Himalayas 1975 (Sanders Collection, Amsterdam) is a black and white photograph centred on the line. Beginning with a small lump of ice, it bisects the image dramatically. In the colour version, the line is more subtle, appearing almost incidental. Both images are unique prints.

Further reading:
Richard Long: Walking the Line, London 2002, reproduced p.4 in colour
R.H. Fuchs, Richard Long, London 1986, pp.86 and 134-5
Richard Long: Walking in Circles, exhibition catalogue, Hayward Gallery, South Bank Centre, London 1991, p.62

Elizabeth Manchester
October 2005",1.0,1.0
72,163,T11789,Main Collection,TMS,Bombed Women and Searchlights,BOMBEDWOMENANDSEARCHLIGHTS,,,,Bombed Women and Searchlights,1940,1940.0,1940.0,1940.0,,painting,,Oil paint on canvas,signed,Bequeathed by Noreen Branson 2004,bequeathed,2004.0,01-2004,accessioned work,,,,,,,,,,support: 509 x 612 x 20 mm,08-FEB-01,Conversion,Not on display,,N,,,1,0,Y,10966,,2004-02-03,Oil paint on canvas,Bequeathed by Noreen Branson 2004,,,163,"Drury, Alfred",Alfred Drury,,Alfred,Drury,,DRURYALFRED,D,1856-1944,1856.0,1856.0,1856.0,1944.0,1944.0,1944.0,British,DRURYA,Y,none,08-FEB-01,Conversion,DRURY ALFRED 1856 20010208,Male,7011781.0,1005936.0,,1181864,2.0,Display caption,C,06-SEP-16,2016-09-06,"
This is one of several scenes Branson painted while living in Battersea during the Second World War. The juxaposition of scales and perspectives in this painting blend surrealism and modern realism to create a striking visual intensity. The contrasting details, such as the local British-Nazi propaganda graffiti beneath a government sponsored ‘Dig for Victory’ poster, convey conflicting ideologies in British society of which he would have been conscious as a member of the Communist Party. Branson later joined the Royal Armoured Corps and died on active service in Burma in 1944.
",1.0,1.0
72,163,T11789,Main Collection,TMS,Bombed Women and Searchlights,BOMBEDWOMENANDSEARCHLIGHTS,,,,Bombed Women and Searchlights,1940,1940.0,1940.0,1940.0,,painting,,Oil paint on canvas,signed,Bequeathed by Noreen Branson 2004,bequeathed,2004.0,01-2004,accessioned work,,,,,,,,,,support: 509 x 612 x 20 mm,08-FEB-01,Conversion,Not on display,,N,,,1,0,Y,10966,,2004-02-03,Oil paint on canvas,Bequeathed by Noreen Branson 2004,,,163,"Drury, Alfred",Alfred Drury,,Alfred,Drury,,DRURYALFRED,D,1856-1944,1856.0,1856.0,1856.0,1944.0,1944.0,1944.0,British,DRURYA,Y,none,08-FEB-01,Conversion,DRURY ALFRED 1856 20010208,Male,7011781.0,1005936.0,,1084920,10.0,Summary,H,11-JAN-05,,"Bombed Women and Searchlights was painted in response to the London Blitz which began in  September 1940. Branson was then living in Battersea where he would have witnessed at first hand the devastating air raids. In this painting he employs surrealistic juxtapositions and unusual perspectives to imbue the painting with a startling visual intensity, while at the same time giving an overt critique of the war. The determined face of the woman on the left, (possibly a portrait of the artist’s wife, Noreen Branson, interview with Rosa Branson, 5 November 2004) rescuing some of her possessions from the scene of the recent attack confronts the viewer whose attention is also drawn towards the dramatically foreshortened chair, empty cigarette packet and striped barrier. The sky, filled with barrage balloons to prevent bombing by the Luftwaffe, is lit up by two searchlights which make an aggressive pattern over a factory. The ‘Dig for Victory’ poster on the right hand side, which shows a man working a spade into the earth, refers to a Government campaign which encouraged people to cultivate their gardens and allotments due to the difficulty of importing foodstuffs. The graffiti immediately beneath it with the slogan, ‘Vote Joyce, Say Peace’, alludes to the British Nazi propagandist, William Joyce, who broadcast appeals to the British to surrender. The poster on a shop window which reads ‘Smile and say Victory’, hardly seems reassuring amid the general devastation. The conflicting sentiments draw attention to the tensions in British Society during the war. 

The unexpected juxtapositions in Bombed Women and Searchlights indicate Branson’s awareness of Surrealist painters who were represented in an exhibition organised by the Artists International Association (AIA) in 1937 (Morris and Radford, p.41). The AIA was founded in 1933, its initial objective being to mobilise ‘the international unity of artists against Imperialist War on the Soviet Union, Fascism and Colonial oppression’ (Morris and Radford, p.2). As the number of members increased (by 1936 over 600 artists had joined the AIA), their aim was broadened to a popular front against both Fascism and war which they strove to achieve through public murals, documentary photographs and travelling exhibitions of paintings and sculptures. It is not known whether this painting was exhibited, but many of the pictures Branson made while he was living in Battersea were included in an exhibition organised by the Artists’ International Association. In 1941, the year after this painting was made; Branson became a member of the Royal Armoured Corps and was sent overseas to India. He died on active service in Burma in 1944. 


Bibliography 

Lynda Morris and Robert Radford, AIA: Artists International Association 1933-1953, exhibition catalogue, The Museum of Modern Art, Oxford 1983
British Soldier in India: The Letters of Clive Branson, London 1944

Heather Birchall
November 2004",1.0,1.0
111467,294,T13564,Main Collection,TMS,Primitive,PRIMITIVE,,,,Primitive,2009,2009.0,2009.0,2009.0,,installation,,"Video, high definition, 8 projections, colour and sound (surround)",,Purchased with funds provided by the Asia-Pacific Acquisitions Committee 2011,purchased,2012.0,07-2010,accessioned work,,,,,,,,,,"duration variable: 1 min - 29 hours, 34 min",01-APR-10,rh-23,Not on display,,N,,,1,0,Y,142762,Number 3 in an edition of 5 plus 2 artist's proofs,2012-03-29,"8-screen video projection, colour, with audio track, silent and sound, variable durations from 1 minute - 29:34 minutes","Purchased from Illuminations Films, London representing Apichatpong Weerasethakul, with funds provided by the Asia-Pacific Acquisitions Committee 2011",,,294,"Jackson, Gilbert",Gilbert Jackson,,Gilbert,Jackson,,JACKSONGILBERT,J,active 1621-1642,1621.0,1621.0,1621.0,1642.0,1642.0,1642.0,British,JACKSONG,Y,none,08-FEB-01,Conversion,JACKSON GILBERT 1621 20010208,Male,7008591.0,,,1180618,10.0,Summary,C,13-JUN-16,2016-06-13,"

Primitive is a multiple screen video installation, created specifically for display within a gallery, by Thai filmmaker Apichatpong Weerasethakul. It consists of seven videos of differing durations in which the history of the border town of Nabua, in northeast Thailand, is re-imagined as an elusive science fiction ghost story rooted in Thai folklore. The work comprises eight projections, since one of the videos, Primitive which gives the work its name, is shown on two synchronised screens. The seven videos are: Primitive (duration 29 minutes 34 seconds), Nabua (duration 9 minutes 11 seconds), Making of the Spaceship (duration 28 minutes 13 seconds), A Dedicated Machine (duration 1 minute), An Evening Shoot (duration 4 minutes 10 seconds), I'm Still Breathing (music video, duration 11 minutes) and Nabua Song (music video, duration 4 minutes 12 seconds). Nabua, situated where the Mekong River divides Thailand from Laos, was historically the scene of considerable racial strife and violence. From the 1960s until the early 1980s it was a ‘red zone’ where the Mao-influenced Communists hid in the jungle. The Thai army curbed the communist insurgent farmers through physical and psychological abuse and murder. The town also harbours an ancient legend about a widow ghost who would abduct any man who entered her empire, earning it the nickname ‘widow town’. Weerasethakul transforms the town into one of men, the teenage male descendants of the farmer communists, freed from the widow ghost’s empire. These teenagers fabricate their own memories and build a new world, manufacturing a spaceship in the ricefields.
For Weerasethakul the jungle is a place of darkness and mystery, in which distinctions between the fictional and the real dissolve. It is a parallel world, populated by enchanted spectres, where mystery and emotion mingle in shadow. The jungle forms a perfect stage for the artist’s fascination with reincarnation, transformation and light. Curator James Quandt has commented that Weerasethakul’s work turns ‘everyday objects and images into the ineffable and enigmatic, inhabitants of a phantom zone where the hard, “real” world of cars and bodies and buildings cedes dominion to a magical realm of reverie and desire’ (Österreichisches Filmmuseum and SYNEMA – Gesellschaft für Film und Medien 2009).
The artist has stated that Primitive is ‘a reincarnation of presence (and absence). It’s also a reincarnation of cinema as a means of transportation as it was in the time of the early cinema innovator Georges Méliès: the “motion picture” carries us from our own world. Primitive is a meditation on those voyages in fabulous vehicles that bring about the transformation of people and of light’ (unpublished artist’s statement, September 2008).
Inspired in part by surrealism, Weerasethakul’s films present a world that is distinctly mutable and elusive, evoking the artist’s interest in the surrealist game Exquisite Corpse, whereby players add words or images sequentially to a sentence or diagram without knowing what came before, so as to construct a fanciful, multi-layered scenario. Conventional narrative unravels as storylines change course and genre morphs from fiction to fantasy to documentary. Drawing heavily on anecdotal traditions from rural Thai villagers, as well as personal politics, social issues and his own early fascination",1.0,1.0
111467,294,T13564,Main Collection,TMS,Primitive,PRIMITIVE,,,,Primitive,2009,2009.0,2009.0,2009.0,,installation,,"Video, high definition, 8 projections, colour and sound (surround)",,Purchased with funds provided by the Asia-Pacific Acquisitions Committee 2011,purchased,2012.0,07-2010,accessioned work,,,,,,,,,,"duration variable: 1 min - 29 hours, 34 min",01-APR-10,rh-23,Not on display,,N,,,1,0,Y,142762,Number 3 in an edition of 5 plus 2 artist's proofs,2012-03-29,"8-screen video projection, colour, with audio track, silent and sound, variable durations from 1 minute - 29:34 minutes","Purchased from Illuminations Films, London representing Apichatpong Weerasethakul, with funds provided by the Asia-Pacific Acquisitions Committee 2011",,,294,"Jackson, Gilbert",Gilbert Jackson,,Gilbert,Jackson,,JACKSONGILBERT,J,active 1621-1642,1621.0,1621.0,1621.0,1642.0,1642.0,1642.0,British,JACKSONG,Y,none,08-FEB-01,Conversion,JACKSON GILBERT 1621 20010208,Male,7008591.0,,,1180550,10.0,Summary,H,09-JUN-16,2016-06-09,"

Primitive is a multiple screen video installation, created specifically for display within a gallery, by Thai filmmaker Apichatpong Weerasethakul. It consists of seven videos of differing durations in which the history of the border town of Nabua, in northeast Thailand, is re-imagined as an elusive science fiction ghost story rooted in Thai folklore. The work comprises eight projections, since one of the videos, Primitive which gives the work its name, is shown on two synchronised screens. The seven videos are: Primitive (duration 29 minutes 34 seconds), Nabua (duration 9 minutes 11 seconds), Making of the Spaceship (duration 28 minutes 13 seconds), A Dedicated Machine (duration 1 minute), An Evening Shoot (duration 4 minutes 10 seconds), I'm Still Breathing (music video, duration 11 minutes) and Nabua Song (music video, duration 4 minutes 12 seconds). Nabua, situated where the Mekong River divides Thailand from Laos, was historically the scene of considerable racial strife and violence. From the 1960s until the early 1980s it was a ‘red zone’ where the Mao-influenced Communists hid in the jungle. The Thai army curbed the communist insurgent farmers through physical and psychological abuse and murder. The town also harbours an ancient legend about a widow ghost who would abduct any man who entered her empire, earning it the nickname ‘widow town’. Weerasethakul transforms the town into one of men, the teenage male descendants of the farmer communists, freed from the widow ghost’s empire. These teenagers fabricate their own memories and build a new world, manufacturing a spaceship in the ricefields.
For Weerasethakul the jungle is a place of darkness and mystery, in which distinctions between the fictional and the real dissolve. It is a parallel world, populated by enchanted spectres, where mystery and emotion mingle in shadow. The jungle forms a perfect stage for the artist’s fascination with reincarnation, transformation and light. Curator James Quandt has commented that Weerasethakul’s work turns ‘everyday objects and images into the ineffable and enigmatic, inhabitants of a phantom zone where the hard, “real” world of cars and bodies and buildings cedes dominion to a magical realm of reverie and desire’ (Österreichisches Filmmuseum and SYNEMA – Gesellschaft für Film und Medien 2009).
The artist has stated that Primitive is ‘a reincarnation of presence (and absence). It’s also a reincarnation of cinema as a means of transportation as it was in the time of the early cinema innovator Georges Méliès: the ‘motion picture’ carries us from our own world. Primitive is a meditation on those voyages in fabulous vehicles that bring about the transformation of people and of light’ (unpublished artist’s statement, September 2008).
Inspired in part by surrealism, Weerasethakul’s films present a world that is distinctly mutable and elusive, evoking the artist’s interest in the surrealist game Exquisite Corpse, whereby players add words or images sequentially to a sentence or diagram without knowing what came before, so as to construct a fanciful, multi-layered scenario. Conventional narrative unravels as storylines change course and genre morphs from fiction to fantasy to documentary. Drawing heavily on anecdotal traditions from rural Thai villagers, as well as personal politics, social issues and his own early fascination",1.0,1.0
1449,1931,T02318,Main Collection,TMS,Clarinet and Bottle of Rum on a Mantelpiece,CLARINETANDBOTTLEOFRUMONAMANTELPIECE,Clarinette et bouteille de rhum sur une cheminï¿½e,CLARINETTEETBOUTEILLEDERHUMSURUNECHEMINEE,,Clarinet and Bottle of Rum on a Mantelpiece,1911,1911.0,1911.0,1911.0,,painting,,Oil paint on canvas,signed,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,purchased,1978.0,,accessioned work,,,,,,,,,,"support: 810 x 600 mm
frame: 935 x 723 x 74 mm",08-FEB-01,Conversion,On display,,N,,,1,0,Y,10980,,1978,Oil paint on canvas,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,,,1931,"Shannon, Charles",Charles Shannon,,Charles,Shannon,,SHANNONCHARLES,S,1863-1937,1863.0,1863.0,1863.0,1937.0,1937.0,1937.0,British,SHANNONC,Y,some,08-FEB-01,Conversion,SHANNON CHARLES 1863 20010208,Male,7008157.0,4005652.0,17150.0,1077917,8.0,Catalogue entry,C,16-SEP-04,,"Georges Braque 1882-1963 

T02318 Clarinette et Bouteille de Rhum sur une Cheminée
(Clarinet and Bottle of Rum on a Mantelpiece) 1911 

Inscribed 'G. Braque | Ceret' on back of canvas
Oil on canvas, 31 7/8 x 23 5/8 (81 x 60)
Purchased from Cofinarte (Grant-in-Aid) with the aid of a special Government Grant and with assistance from the Friends of the Tate Gallery 1978
Prov:
With Galerie Kahnweiler, Paris (purchased from the artist); Kahnweiler sale, Drouot, Paris, 7-8 May 1923, lot 137 as 'Nature Morte'; bt. Edouard Jeanneret (Le Corbusier), Paris, 400 frs.; sold by the Le Corbusier Foundation, Palais Galliera, Paris, 10 June 1970, lot 50, repr. in black and white, and in colour, as 'Clarinette et Bouteille de Rhum'; bt. Galerie Beyeler, Basle, 1,260,000 frs.; Portuguese private collector, 1971; sold on his behalf at Sotheby's, London, 4 December 1974, lot 41, repr. in colour as 'Clarinette et Bouteille de Rhum sur une Cheminee'; bt. Cofinarte, Switzerland, £240,000
Exh:
Proposal for a Collection of Contemporary Art, Cultural Center of the Philippines Museum, Manila, October-November 1976 (9, repr. in colour); Fundamental Aspects of Modernism, Fine Arts Gallery, California State University, Northridge, March-April 1977 (8, repr. in colour); Early Twentieth Century Masterpainters, Museum of Albuquerque, June-July 1977 (8, repr. in colour)
Lit:
George Isarlov, 'Georges Braque' in Orbes, No.3, Spring 1932, p.83, No.114 as 'La Cheminee' 1911; Marco Valsecchi and Massimo Carrà, L'Opera Completa di Braque 1908-1929
(Milan 1971), No.81, p.88, repr. p.89 and pl.XIX in colour (colours very inaccurate)
Repr:<span style='font-family: Arial; color",1.0,1.0
1449,1931,T02318,Main Collection,TMS,Clarinet and Bottle of Rum on a Mantelpiece,CLARINETANDBOTTLEOFRUMONAMANTELPIECE,Clarinette et bouteille de rhum sur une cheminï¿½e,CLARINETTEETBOUTEILLEDERHUMSURUNECHEMINEE,,Clarinet and Bottle of Rum on a Mantelpiece,1911,1911.0,1911.0,1911.0,,painting,,Oil paint on canvas,signed,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,purchased,1978.0,,accessioned work,,,,,,,,,,"support: 810 x 600 mm
frame: 935 x 723 x 74 mm",08-FEB-01,Conversion,On display,,N,,,1,0,Y,10980,,1978,Oil paint on canvas,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,,,1931,"Shannon, Charles",Charles Shannon,,Charles,Shannon,,SHANNONCHARLES,S,1863-1937,1863.0,1863.0,1863.0,1937.0,1937.0,1937.0,British,SHANNONC,Y,some,08-FEB-01,Conversion,SHANNON CHARLES 1863 20010208,Male,7008157.0,4005652.0,17150.0,1059928,8.0,Catalogue entry,H,29-JAN-04,,"Georges Braque 1882-1963 

T02318 Clarinette et Bouteille de Rhum sur une Cheminée
(Clarinet and Bottle of Rum on a Mantelpiece) 1911 

Inscribed 'G. Braque | Ceret' on back of canvas
Oil on canvas, 31 7/8 x 23 5/8 (81 x 60)
Purchased from Cofinarte (Grant-in-Aid) with the aid of a special Government Grant and with assistance from the Friends of the Tate Gallery 1978
Prov:
With Galerie Kahnweiler, Paris (purchased from the artist); Kahnweiler sale, Drouot, Paris, 7-8 May 1923, lot 137 as 'Nature Morte'; bt. Edouard Jeanneret (Le Corbusier), Paris, 400 frs.; sold by the Le Corbusier Foundation, Palais Galliera, Paris, 10 June 1970, lot 50, repr. in black and white, and in colour, as 'Clarinette et Bouteille de Rhum'; bt. Galerie Beyeler, Basle, 1,260,000 frs.; Portuguese private collector, 1971; sold on his behalf at Sotheby's, London, 4 December 1974, lot 41, repr. in colour as 'Clarinette et Bouteille de Rhum sur une Cheminee'; bt. Cofinarte, Switzerland, £240,000
Exh:
Proposal for a Collection of Contemporary Art, Cultural Center of the Philippines Museum, Manila, October-November 1976 (9, repr. in colour); Fundamental Aspects of Modernism, Fine Arts Gallery, California State University, Northridge, March-April 1977 (8, repr. in colour); Early Twentieth Century Masterpainters, Museum of Albuquerque, June-July 1977 (8, repr. in colour)
Lit:
George Isarlov, 'Georges Braque' in Orbes, No.3, Spring 1932, p.83, No.114 as 'La Cheminee' 1911; Marco Valsecchi and Massimo Carrà, L'Opera Completa di Braque 1908-1929
(Milan 1971), No.81, p.88, repr. p.89 and pl.XIX in colour (colours very inaccurate)
Repr:<span style='font-family: Arial; color:",1.0,1.0
1449,1931,T02318,Main Collection,TMS,Clarinet and Bottle of Rum on a Mantelpiece,CLARINETANDBOTTLEOFRUMONAMANTELPIECE,Clarinette et bouteille de rhum sur une cheminï¿½e,CLARINETTEETBOUTEILLEDERHUMSURUNECHEMINEE,,Clarinet and Bottle of Rum on a Mantelpiece,1911,1911.0,1911.0,1911.0,,painting,,Oil paint on canvas,signed,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,purchased,1978.0,,accessioned work,,,,,,,,,,"support: 810 x 600 mm
frame: 935 x 723 x 74 mm",08-FEB-01,Conversion,On display,,N,,,1,0,Y,10980,,1978,Oil paint on canvas,Purchased with assistance from a special government grant and with assistance from the Art Fund 1978,,,1931,"Shannon, Charles",Charles Shannon,,Charles,Shannon,,SHANNONCHARLES,S,1863-1937,1863.0,1863.0,1863.0,1937.0,1937.0,1937.0,British,SHANNONC,Y,some,08-FEB-01,Conversion,SHANNON CHARLES 1863 20010208,Male,7008157.0,4005652.0,17150.0,1022343,8.0,Catalogue entry,H,13-APR-00,,"
Georges Braque 1882-1963

T02318 Clarinette et Bouteille de Rhum sur une Chemin?e (Clarinet and Bottle of Rum on a Mantelpiece) 1911

Inscribed 'G. Braque | Ceret' on back of canvas
Oil on canvas, 31 7/8 x 23 5/8 (81 x 60)
Purchased from Cofinarte (Grant-in-Aid) with the aid of a special Government Grant and with assistance from the Friends of the Tate Gallery 1978
Prov: With Galerie Kahnweiler, Paris (purchased from the artist); Kahnweiler sale, Drouot, Paris, 7-8 May 1923, lot 137 as 'Nature Morte'; bt. Edouard Jeanneret (Le Corbusier), Paris, 400 frs.; sold by the Le Corbusier Foundation, Palais Galliera, Paris, 10 June 1970, lot 50, repr. in black and white, and in colour, as 'Clarinette et Bouteille de Rhum'; bt. Galerie Beyeler, Basle, 1,260,000 frs.; Portuguese private collector, 1971; sold on his behalf at Sotheby's, London, 4 December 1974, lot 41, repr. in colour as 'Clarinette et Bouteille de Rhum sur une Cheminee'; bt. Cofinarte, Switzerland, ?240,000
Exh: Proposal for a Collection of Contemporary Art, Cultural Center of the Philippines Museum, Manila, October-November 1976 (9, repr. in colour); Fundamental Aspects of Modernism, Fine Arts Gallery, California State University, Northridge, March-April 1977 (8, repr. in colour); Early Twentieth Century Masterpainters, Museum of Albuquerque, June-July 1977 (8, repr. in colour)
Lit: George Isarlov, 'Georges Braque' in Orbes, No.3, Spring 1932, p.83, No.114 as 'La Cheminee' 1911; Marco Valsecchi and Massimo Carr?, L'Opera Completa di Braque 1908-1929 (Milan 1971), No.81, p.88, repr. p.89 and pl.XIX in colour (colours very inaccurate)
Repr: Ozenfant and Jeanneret, La Peinture Moderne (Paris 1925), p.57; Carl Einstein, Georges Braque (Paris-London-New York 1934), pl.XIII as 'Composition' 1911; Anne Jackson (ed.), Art at Auction 1974-75 (London 1975), p.122 in colour

This painting is inscribed 'Ceret' on the back, which confirms that it was painted at C?ret (Pyren?es-Orientales) in 1911, when Braque was spending the summer there in the company of Picasso. They had gone to C?ret at the suggestion of their friend the Catalan sculptor Manolo, who had settled there three years before.

This was Braque's first picture of a still-life group on a mantelpiece, a theme which became the basis for a number of his later works. The objects include a bottle of rum, a clarinet, some sheet music and a pin or nail with its cast shadow. Lower down one can identify a pair of scroll-like corbels, left and right, which support the mantel, and a scallop-shaped motif which is either the handle of a fire screen or, more probably, a decorative feature on the canopy at the top of the fireplace to prevent smoke escaping.

Though it appears in the Kahnweiler records as 'Clarinet and Bottle of Rum' and is listed by Isarlov as 'The Mantelpiece', there seems some advantage in keeping the more extended title 'Clarinet and Bottle of Rum on a Mantelpiece' under which it has been known in recent years.

Published in:
Ronald Alley, Catalogue of the Tate Gallery's Collection of Modern Art other than Works by British Artists, Tate Gallery and Sotheby Parke-Bernet, London 1981, pp.77-8, reproduced p.77

",1.0,1.0
