SEA,COLLECTION_ID,ARTIST_ID,ACNO,WORK_TYPE,SOURCE,TITLE,SEARCH_NAME,FOREIGN_TITLE,FOREIGN_SEARCH_NAME,TITLE_PRE1997,LIST_TITLE,DATE_RANGE_TEXT,CREATE_YEAR_EARLY,CREATE_YEAR_SEQ,CREATE_YEAR_LATE,INSCRIPTION,OBJECT_TYPE,PARTS_COUNT,MEDIUM_LONG,SIGNED,ACQ_TEXT,ACQ_METHOD,ACQ_YEAR,BOARD_MONTH_YEAR,TG_STATUS,USUAL_LOC,FINBERG_NUMBER,FINBERG_ORDER,BOX_NUMBER,BOOK_NUMBER,PAGE_NUMBER,MOUNT,BLANK,ACQ_DATE,DIMENSIONS,DATE_CREATED,CREATED_BY,DISPLAY_STATUS,RAWLINSON_NUMBER,BY_APPOINTMENT,WILTON_NUMBER,BUTLINJOLL_NUMBER,COLLABORATION_COUNT,RELATED_COUNT,LOCATION_HISTORY,DISPLAY_ORDER,EDITION,ACCESSION_ISO_DATE,EXTENDED_MEDIUM,EXTENDED_CREDIT_LINE,DESCRIPTION,GROUP_TITLE,ARTIST_ID_1,ARTIST_MDA,ARTIST_FC,TITLE_1,FIRSTNAME,SURNAME,POST_SURNAME,SEARCH_NAME_1,START_LETTER,DATE_TEXT,YEAR_BIRTH_EARLY,YEAR_BIRTH_SEQ,YEAR_BIRTH_LATE,YEAR_DEATH_EARLY,YEAR_DEATH_SEQ,YEAR_DEATH_LATE,BRIT_FOR,CHAPTER,TG,ARCHIVE_AMOUNT,DATE_CREATED_1,CREATED_BY_1,ALPHASORT,GENDER,BIRTH_PLACE_ID,DEATH_PLACE_ID,SUBJECT_ID,DATA_RESOURCE_ID,INFO_TYPE_ID,INFO_TYPE,STATUS,DATE_CREATED_2,PUBLICATION_DATE,TEXT_DATA,DATA_TYPE_ID,REF_TABLE_ID,ACTIVEPLACE,BIRTH_COUNTRY,BIRTHPLACE,SUBJECT_INDEX_TERM,COUNTRY_QUERY
True,20418,2296,P11357,Main Collection,TMS,Good,GOOD,,,,Good,1989,1989.0,1989.0,1989.0,date inscribed,"on paper, print",,Screenprint on paper,signed,Presented by the artist and Sonnabend Gallery 1992,presented,1992.0,03-1992,accessioned work,,,,,,,,,,image: 1651 x 1220 mm,2001-02-08 15:22:57,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,7812,,1992      ,Screenprint on paper,Presented by the artist and Sonnabend Gallery 1992,,,2296,"Bickerton, Ashley",Ashley Bickerton,,Ashley,Bickerton,,BICKERTONASHLEY,B,1959 - 2022,1959.0,1959.0,1959.0,2022.0,2022.0,2022.0,Foreign,BICKERTA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Y,none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:21:30,Conversion                                                                                                                      ,BICKERTON ASHLEY 1959 20010208,Male,7004770.0,1006395.0,,,,,,,,,,,Indonesia,,,,
True,20419,2296,P11356,Main Collection,TMS,Bad,BAD,,,,Bad,1988,1988.0,1988.0,1988.0,date inscribed,"on paper, print",,Screenprint on paper,signed,Presented by the artist and Sonnabend Gallery 1992,presented,1992.0,03-1992,accessioned work,,,,,,,,,,image: 1320 x 1219 mm,2001-02-08 15:22:57,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,7810,,1992      ,Screenprint on paper,Presented by the artist and Sonnabend Gallery 1992,,,2296,"Bickerton, Ashley",Ashley Bickerton,,Ashley,Bickerton,,BICKERTONASHLEY,B,1959 - 2022,1959.0,1959.0,1959.0,2022.0,2022.0,2022.0,Foreign,BICKERTA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Y,none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:21:30,Conversion                                                                                                                      ,BICKERTON ASHLEY 1959 20010208,Male,7004770.0,1006395.0,,,,,,,,,,,Indonesia,,,,
True,20582,2296,T07875,Main Collection,TMS,Biofragment #2,BIOFRAGMENT#2,,,,Biofragment #2,1990,1990.0,1990.0,1990.0,,sculpture,,"Wood, aluminium, wire, glass, canvas and coral",,Presented by the American Fund for the Tate Gallery 2000,presented,2002.0,03-1992,accessioned work,,,,,,,,,,object: 2940 x 2136 x 1138 mm,2001-02-08 15:24:43,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,7813,,2002-05-15,"Wood, aluminium, wire, glass, canvas and coral",Presented by the American Fund for the Tate Gallery 2000,,,2296,"Bickerton, Ashley",Ashley Bickerton,,Ashley,Bickerton,,BICKERTONASHLEY,B,1959 - 2022,1959.0,1959.0,1959.0,2022.0,2022.0,2022.0,Foreign,BICKERTA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Y,none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:21:30,Conversion                                                                                                                      ,BICKERTON ASHLEY 1959 20010208,Male,7004770.0,1006395.0,,,,,,,,,,,Indonesia,,,,
True,278624,30631,T15959,Main Collection,TMS,Becoming Alluvium,BECOMINGALLUVIUM,,,,Becoming Alluvium,2019,2019.0,2019.0,2019.0,,time-based media,,"Video, high definition, projection, colour and sound (stereo)",,Purchased with funds provided by the Asia-Pacific Acquisitions Committee 2021,purchased,2023.0,01-2021,accessioned work,,,,,,,,,,"duration: 16min, 50sec",2020-09-02 09:58:38,kw-12                                                                                                                           ,Not on display,,N,,,1,0,Y,74786,Number 4 in an edition of 5 plus 2 artist’s proofs,2023-01-31,"Video, high definition, projection, colour and sound (stereo)","Purchased from Galerie Zink Waldkirchen, Brussels with funds provided by the Asia-Pacific Acquisitions Committee 2021",,,30631,"Phan, Thao Nguyen",Thao Nguyen Phan,,Thao Nguyen,Phan,,PHANTHAONGUYEN,P,born 1987,1987.0,1987.0,1987.0,,,,Foreign,,Y,,2020-09-02 09:59:28,kw-12                                                                                                                           ,PHAN THAO NGUYEN 1987 20201029,Female,7001069.0,,,,,,,,,,,,Vietnam,,,,
True,493,642,T00655,Main Collection,TMS,Spatial Form,SPATIALFORM,,,,Spatial Form,1962-3,1962.0,1962.0,1963.0,,sculpture,,Brass,,Purchased 1964,purchased,1964.0,,accessioned work,,,,,,,,,,object: 337 x 279 x 298 mm,2001-02-08 12:01:58,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,1777,,1964      ,Welded brass,Purchased 1964,,,642,"Alley, Anthea",Anthea Alley,,Anthea,Alley,,ALLEYANTHEA,A,1927-1993,1927.0,1927.0,1927.0,1993.0,1993.0,1993.0,British,ALLEYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:02,Conversion                                                                                                                      ,ALLEY ANTHEA 1927 20010208,Female,1082951.0,,,1053229.0,2.0,Display caption,H,1993-10-11 00:00:00,,Anthea Alley trained as a painter at St Martins School of Art and the Royal College of Art. She worked in a variety of media but is perhaps best known for her sculpture and reliefs. This is one of a series of sculptures made chiefly from machine stampings. These are the pieces of metal that remain after various standard shapes have been stamped out of the metal by machine. The artist began to work with these left-over pieces of metal in 1962 and used a variety of metals and patterns to obtain effects of transparency and movement in her sculpture. She generally confined herself to one type of stamped out shape for each work. Anthea Alley is represented in a number of public collections.,1.0,1.0,,Malaysia,Seremban,,
True,493,642,T00655,Main Collection,TMS,Spatial Form,SPATIALFORM,,,,Spatial Form,1962-3,1962.0,1962.0,1963.0,,sculpture,,Brass,,Purchased 1964,purchased,1964.0,,accessioned work,,,,,,,,,,object: 337 x 279 x 298 mm,2001-02-08 12:01:58,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,1777,,1964      ,Welded brass,Purchased 1964,,,642,"Alley, Anthea",Anthea Alley,,Anthea,Alley,,ALLEYANTHEA,A,1927-1993,1927.0,1927.0,1927.0,1993.0,1993.0,1993.0,British,ALLEYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:02,Conversion                                                                                                                      ,ALLEY ANTHEA 1927 20010208,Female,1082951.0,,,1070788.0,2.0,Display caption,H,2004-08-18 15:53:16,,Anthea Alley trained as a painter at St Martins School of Art and the Royal College of Art. She worked in a variety of media but is perhaps best known for her sculpture and reliefs. This is one of a series of sculptures made chiefly from machine stampings. These are the pieces of metal that remain after various standard shapes have been stamped out of the metal by machine. The artist began to work with these left-over pieces of metal in 1962 and used a variety of metals and patterns to obtain effects of transparency and movement in her sculpture. She generally confined herself to one type of stamped out shape for each work. Anthea Alley is represented in a number of public collections.,1.0,1.0,,Malaysia,Seremban,,
True,493,642,T00655,Main Collection,TMS,Spatial Form,SPATIALFORM,,,,Spatial Form,1962-3,1962.0,1962.0,1963.0,,sculpture,,Brass,,Purchased 1964,purchased,1964.0,,accessioned work,,,,,,,,,,object: 337 x 279 x 298 mm,2001-02-08 12:01:58,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,1777,,1964      ,Welded brass,Purchased 1964,,,642,"Alley, Anthea",Anthea Alley,,Anthea,Alley,,ALLEYANTHEA,A,1927-1993,1927.0,1927.0,1927.0,1993.0,1993.0,1993.0,British,ALLEYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:02,Conversion                                                                                                                      ,ALLEY ANTHEA 1927 20010208,Female,1082951.0,,,1193265.0,2.0,Display caption,C,2019-04-18 16:30:07,2019-04-18,"Anthea Alley gained recognition as a painter in the 1950s, making brutalist abstract paintings, often using everyday materials such as hessian sacks. However, she is best known for her sculpture and reliefs. This is one of a series of sculptures made from machine stampings; the pieces that remain after shapes have been stamped out of the metal by machine. Alley began to work with these stampings in 1962 and used a variety of metals and patterns to create effects of transparency and movement in her sculpture, ‘dividing up air into slices, light enough to make the air round them seem solid, or heavy and stable’.",1.0,1.0,,Malaysia,Seremban,,
True,493,642,T00655,Main Collection,TMS,Spatial Form,SPATIALFORM,,,,Spatial Form,1962-3,1962.0,1962.0,1963.0,,sculpture,,Brass,,Purchased 1964,purchased,1964.0,,accessioned work,,,,,,,,,,object: 337 x 279 x 298 mm,2001-02-08 12:01:58,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,1777,,1964      ,Welded brass,Purchased 1964,,,642,"Alley, Anthea",Anthea Alley,,Anthea,Alley,,ALLEYANTHEA,A,1927-1993,1927.0,1927.0,1927.0,1993.0,1993.0,1993.0,British,ALLEYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:02,Conversion                                                                                                                      ,ALLEY ANTHEA 1927 20010208,Female,1082951.0,,,1107677.0,8.0,Catalogue entry,C,2012-07-27 11:11:29,,"Anthea Alley b. 1927 T00655 Spatial Form 1962–63 Not inscribed.Welded brass, 13¼ x 11 x11¾ (33.5 x 28 x 30).Purchased from the Hamilton Galleries (Grant-in-Aid) 1964.Exh: Hamilton Galleries, March-April 1964 (4).Repr: Studio, CLXX, 1965, p. 90. This is one of a series of sculptures made mainly from machine stampings, that is to say from the lengths of metal remaining after strips have been fed into a machine which stamps out circular discs, ovals and such-like. Anthea Alley first began to work with these in 1962 and has used a variety of metals and patterns (usually only one kind in each piece) to obtain effects of transparency, space and movement. Published in The Tate Gallery Report 1964–1965, London 1966.",1.0,1.0,,Malaysia,Seremban,,
True,550,659,A01029,Main Collection,TMS,At the Brasserie,THERAKESPROGRESSATTHEBRASSERIE,,,,"<i>from</i> The Rake's Progress, At the Brasserie",1931,1931.0,1931.0,1931.0,date inscribed,"on paper, unique",,Watercolour and ink on paper,signed,Purchased 1940,purchased,1940.0,,accessioned work,,,,,,,,,,support: 152 x 222 mm,2001-02-08 12:02:21,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,2859,,1940      ,Watercolour and ink on paper,Purchased 1940,,The Rake's Progress,659,"Ardizzone, Edward",Edward Ardizzone,,Edward,Ardizzone,,ARDIZZONEEDWARD,A,1900-1979,1900.0,1900.0,1900.0,1979.0,1979.0,1979.0,British,ARDIZZOE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:04,Conversion                                                                                                                      ,ARDIZZONE EDWARD 1900 20010208,Male,7001067.0,7008153.0,,1062748.0,8.0,Catalogue entry,H,2004-07-09 19:00:44,,"A01029 THE RAKE'S PROGRESS 1931 (i) AT THE BRASSERIE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×8 3/4 (15×22). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1.0,1.0,,Vietnam,Haiphong,,
True,550,659,A01029,Main Collection,TMS,At the Brasserie,THERAKESPROGRESSATTHEBRASSERIE,,,,"<i>from</i> The Rake's Progress, At the Brasserie",1931,1931.0,1931.0,1931.0,date inscribed,"on paper, unique",,Watercolour and ink on paper,signed,Purchased 1940,purchased,1940.0,,accessioned work,,,,,,,,,,support: 152 x 222 mm,2001-02-08 12:02:21,Conversion                                                                                                                      ,Not on display,,N,,,1,0,Y,2859,,1940      ,Watercolour and ink on paper,Purchased 1940,,The Rake's Progress,659,"Ardizzone, Edward",Edward Ardizzone,,Edward,Ardizzone,,ARDIZZONEEDWARD,A,1900-1979,1900.0,1900.0,1900.0,1979.0,1979.0,1979.0,British,ARDIZZOE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Y,some                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2001-02-08 11:18:04,Conversion                                                                                                                      ,ARDIZZONE EDWARD 1900 20010208,Male,7001067.0,7008153.0,,1078924.0,8.0,Catalogue entry,C,2004-09-22 15:02:21,,"A01029 THE RAKE'S PROGRESS 1931 (i) AT THE BRASSERIE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×8 3/4 (15×22). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1.0,1.0,,Vietnam,Haiphong,,
