ACNO,Countries,Title,Description,label
P11357,['Indonesia'],Good,,0
P11356,['Indonesia'],Bad,,1
T07875,['Indonesia'],Biofragment #2,,0
T15959,['Vietnam'],Becoming Alluvium,,0
T00655,['Malaysia'],Spatial Form,Anthea Alley trained as a painter at St Martins School of Art and the Royal College of Art. She worked in a variety of media but is perhaps best known for her sculpture and reliefs. This is one of a series of sculptures made chiefly from machine stampings. These are the pieces of metal that remain after various standard shapes have been stamped out of the metal by machine. The artist began to work with these left-over pieces of metal in 1962 and used a variety of metals and patterns to obtain effects of transparency and movement in her sculpture. She generally confined herself to one type of stamped out shape for each work. Anthea Alley is represented in a number of public collections.,1
T00655,['Malaysia'],Spatial Form,Anthea Alley trained as a painter at St Martins School of Art and the Royal College of Art. She worked in a variety of media but is perhaps best known for her sculpture and reliefs. This is one of a series of sculptures made chiefly from machine stampings. These are the pieces of metal that remain after various standard shapes have been stamped out of the metal by machine. The artist began to work with these left-over pieces of metal in 1962 and used a variety of metals and patterns to obtain effects of transparency and movement in her sculpture. She generally confined herself to one type of stamped out shape for each work. Anthea Alley is represented in a number of public collections.,1
T00655,['Malaysia'],Spatial Form,"Anthea Alley gained recognition as a painter in the 1950s, making brutalist abstract paintings, often using everyday materials such as hessian sacks. However, she is best known for her sculpture and reliefs. This is one of a series of sculptures made from machine stampings; the pieces that remain after shapes have been stamped out of the metal by machine. Alley began to work with these stampings in 1962 and used a variety of metals and patterns to create effects of transparency and movement in her sculpture, ‘dividing up air into slices, light enough to make the air round them seem solid, or heavy and stable’.",1
T00655,['Malaysia'],Spatial Form,"Anthea Alley b. 1927 T00655 Spatial Form 1962–63 Not inscribed.Welded brass, 13¼ x 11 x11¾ (33.5 x 28 x 30).Purchased from the Hamilton Galleries (Grant-in-Aid) 1964.Exh: Hamilton Galleries, March-April 1964 (4).Repr: Studio, CLXX, 1965, p. 90. This is one of a series of sculptures made mainly from machine stampings, that is to say from the lengths of metal remaining after strips have been fed into a machine which stamps out circular discs, ovals and such-like. Anthea Alley first began to work with these in 1962 and has used a variety of metals and patterns (usually only one kind in each piece) to obtain effects of transparency, space and movement. Published in The Tate Gallery Report 1964–1965, London 1966.",1
A01029,['Vietnam'],At the Brasserie,"A01029 THE RAKE'S PROGRESS 1931 (i) AT THE BRASSERIE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×8 3/4 (15×22). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01029,['Vietnam'],At the Brasserie,"A01029 THE RAKE'S PROGRESS 1931 (i) AT THE BRASSERIE Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×8 3/4 (15×22). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01030,['Vietnam'],The Meeting,"A01030 THE RAKE'S PROGRESS 1931 (ii) THE MEETING Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 7 1/2×6 1/4 (19×16). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01030,['Vietnam'],The Meeting,"A01030 THE RAKE'S PROGRESS 1931 (ii) THE MEETING Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 7 1/2×6 1/4 (19×16). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01031,['Vietnam'],The Arrival,"A01031 THE RAKE'S PROGRESS 1931 (iii) THE ARRIVAL Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×7 1/4 (15×18·5). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
A01031,['Vietnam'],The Arrival,"A01031 THE RAKE'S PROGRESS 1931 (iii) THE ARRIVAL Inscr. ‘E. Ardizzone 31’ b.r. Watercolour, pen and ink, 6×7 1/4 (15×18·5). Five designs, purchased from the Nicholson Gallery (Knapping Fund) 1940. Exh: Leger Gallery, June 1931 (33–7); Water Colours by Modern English and French Artists, Mayor Gallery, November 1937 (10–14); Nicholson Gallery, March–April 1940 (12–16). Lit: D. W. Last, ‘Edward Ardizzone: a first one-man show at the Leger Gallery’ in Studio, CII, 1931, p.36. Although designed as a series these were not intended for book illustrations. They should not be regarded as moralities in the way that Hogarth's paintings of the same subject were, but rather as mildly satirical reportage. Published in: Mary Chamot, Dennis Farr and Martin Butlin, The Modern British Paintings, Drawings and Sculpture, London 1964, I",1
