id,sierra-system-no,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
n6d6erfb,b31520777,SA/DRS/G/6,,Malaysia,,Archives and manuscripts,2 Files,,['Drugs'],,1983- 1988,,,,"<p>Set of materials created by organisations based in Malaysia.</p>
<p>Keywords: Drugs</p>",,,,,,https://wellcomecollection.org/works/n6d6erfb
pb4qhm4y,b19710598,SA/WFO/H/15,['Closed stores'],Malaysia,,Archives and manuscripts,1 file,,,,1979-1993,,,,"Papers pertaining to the Malaysia Occupational Therapists Association application for membership of the World Federation of Occupationl Therapists. Include copies of the constitution dated 1979 and 1992, code of conduct document, membership application form and a list of members and officers of the association at the time of application (1979).",,,,,,https://wellcomecollection.org/works/pb4qhm4y
t7ry4sym,b18475887,PP/RRM/A.5/43,['Closed stores'],Malaysia,,Archives and manuscripts,1 file,,,,Nov 1967-Jun 1973,,,,,,,,,,https://wellcomecollection.org/works/t7ry4sym
d22mrvun,b17320306,PP/GRU/50/1,"['Closed stores', 'Online']",Correspondence: Malaysia,,Archives and manuscripts,1 file,,,,1970-1978,,,,"Mostly to do with Gruneberg's role as external examiner in Genetics for the School of Biological Sciences at the University of Malaya. Correspondents include: Socio-Economic Research and General Planning Unit; University of Malaya; Dr Yong Hoi-Sen; Dr V Prakash; Satwant S Dhaliwal; Ho Coy Choke; Teh-Chien Shen; Siew Yow Cheong; Prof R Stanton; Sivakumar Nambiar; Dr Thong Saw Pak, <i>Malaysian Journal of Science</i>",,,,,,https://wellcomecollection.org/works/d22mrvun
nxmq7fxg,b19708907,PP/GRU/50,,Correspondence: Malaysia,,Archives and manuscripts,2 files,,,,1970-1978,,,,,,,,,,https://wellcomecollection.org/works/nxmq7fxg
htpna9pd,b1732533x,PP/GRU/50/2,['Closed stores'],Correspondence: Malaysia [closed],,Archives and manuscripts,1 file,,,,1972-1974,,,,,,,,,,https://wellcomecollection.org/works/htpna9pd
f8xsdue2,b20282047,PP/EKC/C/17,['Closed stores'],Universiti Kebangsaan Malaysia,,Archives and manuscripts,1 file,,,,1949-1983,,,,"Contains a report produced for the Commonwealth Secretariat relating to medical training at the Universiti Kebangsaan Malaysia in the years of 1981 to 1983. Also includes multiple choice question sheets for year 4 and 6 medical students, symposia and seminar topics at the Universiti Kebangsaan Malaysia.",,,,,,https://wellcomecollection.org/works/f8xsdue2
n3q7gwue,b19986130,JDW/1/15/49,['Online'],"Kuala Lumpur, Malaysia",,Archives and manuscripts,1 folder,,,,1996,,,,"Photograph of James D. Watson standing infront of a car in Kuala Lumpur, Malaysia.  Verso of photograph has handwritten description by Watson.",,,,,,https://wellcomecollection.org/works/n3q7gwue
xh3737vy,b21242355,SA/MED/M/4/1/10,['Closed stores'],International links: Malaysia,,Archives and manuscripts,1 file,,,,1989,,,,,,,,,,https://wellcomecollection.org/works/xh3737vy
u4x8fxyb,b19960268,SA/POP/C/1/8/8,"['Closed stores', 'Online']","Clinic Service Programme, Malaysia",,Archives and manuscripts,1 file,,,,1986,,,,,,,,,,https://wellcomecollection.org/works/u4x8fxyb
ggzhuuz4,b20281699,PP/EKC/C/16,['Closed stores'],'Malaysia and Commonwealth S & C?',,Archives and manuscripts,1 file,,,,1981-1983,,,,"Report from Eric Cruickshank for the Commonwealth Secretariat about his assignment to the Department of Medicine at the Universiti Kebangsaan Malaysia. Correspondence with Professor Harrison at the Institute of Laryngology and Otology, London regarding a colleague also working in Malaysia. Documents from the Commonwealth Secretariat relating to Commonwealth Fund for Technical Co-operation (CFTC) field assignments. Also contains correspondence with the CFTC on the financial and administrative aspects of the Malaysia assignment.",,,,,,https://wellcomecollection.org/works/ggzhuuz4
y627ynks,b18842732,WF/C/E/05/65/5,['Closed stores'],"""Report on Malaysia and Singapore""",,Archives and manuscripts,1 file 28 sheets.,,,,1968,,,,"1 February, 1968.  ""Report on Malaysia and Singapore"" by K J Merrifield.  Visited 17-24 November, 1967.  Report number 5/68.",,,,,,https://wellcomecollection.org/works/y627ynks
de429cwv,b20001253,SB/1/2/95,['Online'],(The) British Council Malaysia (Lectures),,Archives and manuscripts,1 folder,,,,2005,,,,,,,,,,https://wellcomecollection.org/works/de429cwv
fggqzkt6,b31533772,SA/DRS/G/6/2,['Closed stores'],National Association Against Drug Abuse Malaysia,,Archives and manuscripts,1 File,,['Drugs'],,1983,,,,"<p>Reprinted speech made at the 2nd Pan Pacific Conference on Drugs and Alcohol.</p>

<p>Keywords: Drugs; Rehabilitation.</p>",,,,,,https://wellcomecollection.org/works/fggqzkt6
rr845zrq,b19959722,SA/POP/C/1/4/6,"['Closed stores', 'Online']",Family Life Education Centres in Malaysia,,Archives and manuscripts,1 file,,,,1983-1984,,,,"Run by the Federation of <a href=""http://www.frham.org.my/"" rel=""nofollow""> Family Planning Association Malaysia. </a>",,,,,,https://wellcomecollection.org/works/rr845zrq
dg4yvqu3,b19434078,PP/PCG/D/87/26-27,,"Song Cheow Yong, Universiti Pertanian, Malaysia",,Archives and manuscripts,1 File,,,,1976,,,,,,,,,,https://wellcomecollection.org/works/dg4yvqu3
hfvburrg,b28694417,PP/LOW/W/9,['Closed stores'],Photographs of mosaics made in Malaysia,,Archives and manuscripts,1 file (in 2 parts),,,,1950s,,,['English'],"Data collected by Dr Peggie Thornton, Department of Psychology, University of Reading. Adults and children. Accompanied by copy of a letter from Thornton to Lowenfeld about the test results and information on the subjects, which were Chinese, Indian and Malay.<p></p>
<p>The reverse of the photographs contain information on the person's nationality background, profession, age and details of how they completed the mosaic.</p>",,,,,,https://wellcomecollection.org/works/hfvburrg
mnhgsx6t,b29081312,PP/WRO/B/1/15,['Closed stores'],"SAO/dRTA - Thailand, Malaysia, New Guinea",,Archives and manuscripts,1 File,,,,1996 - 1997,,,,Title given reflects original title.,,,,,,https://wellcomecollection.org/works/mnhgsx6t
x6subbyc,b33186121,WT/D/1/20/1/47/5,"['Online', 'Closed stores']","M0005695: Melanau sickness boat, Sarawak, Malaysia","['Previous title, replaced November 2021: Sickness boat, Lanchang, Milano Sarawak']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,['Traditional medicine'],,23 September 1938,,,,"Reproduction of a photograph of a model of a lancang (lanchang), a type of sailing ship, used by the Melanau people of Sarawak, Malaysia, to hold a dakan which is then floated down the river. A dakan is a carved sickness image. The photograph was published in <i>Journal of the Royal Anthropological Institute</i>, also known as <i>Man</i>, volume 38, 1908. A photograph of the image was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10936).",,,,In copyright,"https://iiif.wellcomecollection.org/thumbs/b33186121_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/x6subbyc
c9edr3n6,b18283329,RAMC/1870,"['Closed stores', 'Online']","Memorabilia of 16th Field Ambulance in Penang, Malaysia",,Archives and manuscripts,1 file,,,,1956-1957,,,,,,,,,,https://wellcomecollection.org/works/c9edr3n6
hrvykfze,b18562280,RAMC/846,"['Closed stores', 'Online']","Visitors book, British Military Maternity Hospital, Penang, Malaysia",,Archives and manuscripts,1 volume,,,,1965-1971,,,,,,,,,,https://wellcomecollection.org/works/hrvykfze
xyzemm2e,b18297602,GC/143/8/4,['Closed stores'],"Report of British Council tour, Malaysia and Japan",,Archives and manuscripts,1 file,,,,May-Jun 1979,,,,,,,,,,https://wellcomecollection.org/works/xyzemm2e
nq3jrd2r,b33182644,WT/D/1/20/1/47/45,"['Online', 'Closed stores']","M0005734: Melanau traditional healer from Sarawak, Malaysia","['Previous title, replaced August 2020: Illustration of Witch Doctor and apparatus from Journal of R. Anthropology Institute']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,"['Traditional medicine', 'Indigenous peoples']",,23 September 1938,,,,"Reproduction of a photograph published as plate 34, figure 4 in Lawrence, A.E: ""Some Aspects of Spirit Worship Amongst the Milano of Sarawak"", <i>The Journal of the Royal Anthropological Institute of Great Britain and Ireland</i>, vol.38 (1908) with the caption ""Witch Doctor and Aparatus"". Milano refers to the Melanau ethnic group. A photograph of figure 4 was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10962).",,,,In copyright,"https://iiif.wellcomecollection.org/thumbs/b33182644_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/nq3jrd2r
qjn6z7pm,b30061441,WTI/DPB/C/2/4/6,['Closed stores'],Peptic Ulcer Survey. Questionnaires filled in by hospitals: Malaysia,,Archives and manuscripts,1 file,,,,1974-1975,,,,Monthly returns from hospitals in Malaysia.,,,,,,https://wellcomecollection.org/works/qjn6z7pm
kqepz2v2,b18219214,821921i,['Closed stores'],"Rice and its pests in Malaysia. Colour lithograph, 19--.",,Pictures,"1 print : lithograph, printed in colours ; sheet 39.2 x 96.3 cm","['Posters', 'Lithographs']","['Rice', 'Diseases and pests', 'Control', 'Rice', 'Life cycles', 'Malaysia']",,"Kuala Lumpur : Di-keluarkan oleh Ibu Jabatan, [between 1900 and 1999]",['Di-keluarkan oleh Ibu Jabatan'],['Kuala Lumpur'],['Malay'],"<p>Rice: the different stages of its cultivation; pests which attack it at various stages of its growth; and chemicals and other methods recommended to control those pests. The pests are: ulat ratus (larvae of the lawn armyworm, Spodoptera mauritia); ketam (crabs); bena hijau & bena puteh (leafhoppers); ulat layar (rice caseworm); ulat lipat daun (larvae of the rice leafroller); kutu bruang (Scotinophora coarctata, black bug); ulat batang padi (stem borers); pianggang (leptocoris, soapberry bugs); burong (bird); tikus (rats)</p>","Musoh padi dan chara menchegah-nya. Berhubong-lah dengan pegawai pertanian tempatan untok ma'alumat yang lebeh lanjut ...

Translation of lettering: Pests of rice and methods of their control. Contact your local  agricultural officials for further information.  ... Sowing time. Transplanting time. Tilling time. Time of shoots appearing. Flowering time. Harvest time. ...",,,,,https://wellcomecollection.org/works/kqepz2v2
teemsctn,b18626798,SA/ASH/U/50,['Closed stores'],"Macedonia, Malaysia, Mexico, Netherlands, Norway, Philippines, Poland, Romania and Russia",,Archives and manuscripts,1 File,,,,1997,,,,"Press cuttings from 1997,concerning smoking related issues in Macedonia, Malaysia, Mexico, Netherlands, Norway, Philippines, Poland, Romania and Russia.",,,,,,https://wellcomecollection.org/works/teemsctn
