id,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
fbughtrg,,['Closed stores'],Eastern approaches.,,Videos,"1 videocassette (14:59 mins.) (DIGIBETA) : sound, colour<br/>1 DVD (14:59 mins.) : sound, colour ; 12cm","['Videocassettes', 'DVDs']","['Population', 'Population Growth', 'Family Planning Services', 'Population Control', 'Indonesia', 'Malaysia', 'Singapore', 'Thailand']","['Harris, Michael', 'Outrider Films Ltd.']",1975,,['United States'],['English'],"<p>A film showing how family planning information is disseminated across the urban and rural populations in Indonesia, Malaysia, Singapore and Thailand. In a rural community in Indonesia, there is a puppet show to communicate the message to children and in youth clubs in tandem with cultural activities in order to promote the idea of small families being the social norm. In a factory in Malaysia, young female workers have a lecture on contraception at lunchtime. In a post-natal clinic, new mothers are given advice. There is a mobile clinic which travels around Kuala Lumpur. At a rubber plantation, family planning advice is provided alongside general medical care. In Singapore, already densely populated, the focus is on the young - teachers are lectured to provide information to their pupils. Young people living in hostels are found to be lacking in understanding human reproduction and family planning - they receive lectures too. Thailand also has a significant population problem especially around the shanty towns around Bangkok - night time film shows and clinics are provided to this community. Local health visitors visit rural families in their homes. Local community distribution advisers disseminate information to the rural poor; they have a more challenging task of communicating the desirability of smaller families to these communities. The injectable contraceptive which offers 12 week family planning is popular amongst some women.</p>",,,,,,https://wellcomecollection.org/works/fbughtrg
j5npf4vt,,['Closed stores'],A helping hand.,,Videos,"1 DVD (13 min.) : sound, black and white, PAL",['DVDs'],"['Nursing', 'Public health nursing', 'Nursing', 'History of Nursing', 'Public Health', 'Malaysia', 'British Red Cross Society']",,"United Kingdom : Malayan Film Unit, 1956.",['Malayan Film Unit'],['United Kingdom'],['English'],"<p>This is a fundraising film (and possibly a nursing recruitment film) by the British Red Cross Society. It centres around the 'true story' of a young Malayan woman, Ah Moi (played by Miss Mary Chai) who makes contact with a British Red Cross Nurse, Miss Jean Wright (played by herself), when her brother is very ill. Jean Wright is our narrator. The film has a highly melodramatic (and rather intrusive) music sound track. The young boy has a high fever and is being nursed by his mother. A glimpse of traditional life is shown. Later, in the health clinic, we see public health posters of the day on the walls, re-inforcing messages about TB etc. The young woman is seen assisting the nurse in her clinic. A new training scheme is described and Ah Moi is then trained to be a full-time nurse. Some of the work of the traveling Red Cross clinics are shown as it journeys around the rural regions of Malaya. Ah Moi travels back to her village, fully trained, to a rapturous welcome.</p>",,,,,,https://wellcomecollection.org/works/j5npf4vt
cnddhndt,,['Online'],BMA world tour : Alternative itinerary. Part 5.,['British Medical Association Round the World Tour and Annual Meeting at Melbourne. 1935'],Videos,"1 encoded moving image (16:41 min.) : silent, black and white.",['Encoded moving images'],"['Travel', 'Voyages around the world', 'Singapore', 'Kuala Lumpur (Malaysia)', 'Colombo (Sri Lanka)', 'Java (Indonesia)', 'Bombay (India)', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage shot on the BMA's World Tour. This reel has mostly unique material and begins with views of Singapore harbour. A traffic policeman is seen in operation - the traffic is very light. A garden party is given by the Singaporean branch of the BMA; it's clearly a mixed gathering of Europeans, Asians and Eurasians. There is a snake charmer. Next, onto Kuala Lumpur to visit a leper colony, the tin mines and to see rubber tapping. There is extraordinary footage of a man's heart beating in his open chest cavity. Dr Watson Smith stands by a rubber tree. There are brief exterior shots of the Selangor Club, the BMA headquarters. The next stop is Penang before the homeward journey via S.S. Rajputana to London. At the dockside, boats are loaded. Arriving at Colombo, the group is welcomed by the Ceylon branch of the BMA. Then onwards to Bombay - another sequence of a snake charmer. Venom is extracted (duplicate material). There is a reception by the Bombay branch of the BMA together with mute footage of the meeting.</p>",,1001.0,,,,https://wellcomecollection.org/works/cnddhndt
kn82bhh4,,['Closed stores'],BMA world tour : Alternative itinerary. Part 5.,['British Medical Association Round the World Tour and Annual Meeting at Melbourne. 1935'],Videos,"1 videodisc (DVD) (16:41 mins) : silent, black and white ; 12 cm.","['Videocassettes', 'DVDs']","['Travel', 'Voyages around the world', 'Singapore', 'Kuala Lumpur (Malaysia)', 'Colombo (Sri Lanka)', 'Java (Indonesia)', 'Bombay (India)', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",['English'],"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage shot on the BMA's World Tour. This reel has mostly unique material and begins with views of Singapore harbour. A traffic policeman is seen in operation - the traffic is very light. A garden party is given by the Singaporean branch of the BMA; it's clearly a mixed gathering of Europeans, Asians and Eurasians. There is a snake charmer. Next, onto Kuala Lumpur to visit a leper colony, the tin mines and to see rubber tapping. There is extraordinary footage of a man's heart beating in his open chest cavity. Dr Watson Smith stands by a rubber tree. There are brief exterior shots of the Selangor Club, the BMA headquarters. The next stop is Penang before the homeward journey via S.S. Rajputana to London. At the dockside, boats are loaded. Arriving at Colombo, the group is welcomed by the Ceylon branch of the BMA. Then onwards to Bombay - another sequence of a snake charmer. Venom is extracted (duplicate material). There is a reception by the Bombay branch of the BMA together with mute footage of the meeting.</p>",,,,,,https://wellcomecollection.org/works/kn82bhh4
knqvsjzq,,['Closed stores'],"John Nunn, MD, DSc., PhD, FRCS, FRCA, in interview with Lady Wendy Ball.",,Videos,"1 videocassette (VHS) : sound, color, PAL.","['Videocassettes', 'Interviews, Recorded']","['Nunn, John, 1955-']",,"UK : Oxford Brookes University, 1998.",['Oxford Brookes University'],['UK'],['English'],"<p>Main subjects: Birmingham University; Colonial Medical Service, Malaysia; anaesthesia in Birmingham; Royal College of Surgeons; respiratory physiology; University of Leeds; MRC Clinical Research Centre, Northwick Park; high pressure and anaesthesia; nitrous oxide; laryngeal masks; anaesthetist education; Egyptology.</p>",,,,,,https://wellcomecollection.org/works/knqvsjzq
gt8hr8j6,,['Closed stores'],Too late tomorrow.,,Videos,"1 DVD (30 min.) : sound, color<br/>1 videocassette (DIGIBETA) (30 min.) : sound, color","['Videocassettes', 'DVDs']","['Global Health', 'Severe Dengue', 'Smallpox', 'Schistosomiasis', 'Malaria', 'Leprosy']",,"[Place of publication not identified], 1978.",,"['[Place of publication not identified],']",['English'],"<p>This film shows the work of the WHO in its fight against endemic diseases in non-western countries and includes footage of WHO work in Zambia, Malaysia, Cuba, Bangladesh, The Philipines and Havanna. We see footage of Zambian village 'doctors', one of whom 'cures' the sick with a stethoscope and a bible while another 'writes' notes on a notepad with a closed pen. We see research into Malaria and visit a Leper colony in Malaysia. In Bangladesh WHO work has eradicated smallpox and we see how having a healthcare centre in Cuba has been hugely beneficial. In Sudan a solar pump is providing villagers with clean water, unpoluted water while in the Philipines poluted water leads frequently to Schistosomiasis. The narrator ends by saying the WHO has set a target date of 2000 to have provided the possibilities of good health to all.</p>",,,,,,https://wellcomecollection.org/works/gt8hr8j6
p78cveke,,['Closed stores'],"Medicine men go wild. Part 2, World of pain.",,Videos,"1 DVD (60 min.) : sound, color",['DVDs'],"['Pain', 'Tropical Medicine']","['van Tulleken, Chris.', 'van Tulleken, Xand.']","UK : Channel 4, 2008.",['Channel 4'],['UK'],['English'],"<p>The second in a four-part series which follows twin doctors, Chris and Xand van Tulleken, trained in tropical medicine as they travel the world to research and experience for themselves the roles of  medicine, ritual and belief in traditional forms of healing. In this part the brothers travel to Asia. Firstly they go to Kuala Lumpar in Malaysia to look at how people there deal with what would be to a typical Westener, excruciating pain. Both brothers experience face and tongue piercings. They also travel to the Himalayas to meet a doctor who practises Tibetan medicine - a form of medicine which believes all illness begins in the mind.</p>",,,,,,https://wellcomecollection.org/works/p78cveke
tn9ddg5x,,,Aedes Aegypti,,Videos,:  ;  cm,,,"['Neves Marques, Isadora']",": , 2017",[''],[''],,,,,,,,https://wellcomecollection.org/works/tn9ddg5x
q6z37zmn,,['Closed stores'],New killer diseases.,,Videos,"1 videocassette (VHS) (60 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Medicine', 'History', 'Modern', 'Acquired Immunodeficiency Syndrome.mr', 'Lassa Fever', 'epidemiology', 'Tropical Medicine', 'Disease Outbreaks']",,"[Place of publication not identified] : Channel 4, 2000.",['Channel 4'],['[Place of publication not identified]'],['English'],"<p>By the 1960s, with the defeat of smallpox, polio and tuberculosis, people were confident that the days of deadly infectious diseases were over. But confidence was shaken even before the end of that decade with the death of seven workers at a polio vaccine laboratory from Marburg's virus. In 1969 the deadly lassa fever, whose viral source is the rat, was brought to Britain from Sierra Leone. From 1976 onwards, outbreaks of disease caused by the highly infectious ebola virus killed hundreds in Africa. Increasing global travel meant that no disease could be confined to its country of origin. The Heathrow Health Control Unit screens immigrants for tuberculosis. Russia and Eastern Europe are badly affected by TB and the multi drug resistant strain can flare up anywhere in the world. Conference visitors to the US came home with Legionaires disease. Travel within cities on over crowded transport may spread disease. Animals are a chief source of infection: an influenza like illness originating in chickens was passed to humans in Hong Kong in 1997 and a disease originating in pigs killed those working with the animals in 1999 in Malaysia, both outbreaks necessitating the slaughter of the countries chickens and pigs. In Britain, children caught e-coli related illnesses from farm visits. AIDS, identified in 1980, has killed 16 million people. War, trade and travel exported it from Africa and the Western lifestyle encouraged it to flourish. The HIV virus mutates to evade control by drugs and there is still no prospect of a vaccine.</p>
<p>A documentary on the arrival of new deadly diseases from other parts of the world as a consequence of increased global travel and trade.</p>",,,,,,https://wellcomecollection.org/works/q6z37zmn
kjykycnw,,['Closed stores'],Wild child.,,Videos,"1 video cassette (VHS) (50 min.) : sound, color, PAL.",['Videocassettes'],"['Feral children', 'Child abuse', 'Developmental psychology', 'Child development']","['Perry, Bruce D.', 'Law, James.', 'Malaya, Oxana.', 'Chalaya, Anna.', 'Nagormy, Vladimir.', 'Newton, Michael.', 'Curtiss, Susan.', 'Linley, Frank.', 'Kent, James, active 1877-1878.', 'Fryer, Steve.']","[Place of publication not identified] : Channel 4, 2003.",['Channel 4'],['[Place of publication not identified]'],['English'],"<p>Documentary looking at feral children and the question of how to rehabilitate them.  Oxana Malaya was left outside by her alcoholic parents as a toddler, so crawled into a kennel for warmth and spent more time with dogs than humans, so grew up behaving more like a dog than a child.  Dramatic reconstruction illustrates the story of Victor, the first scientifically recorded case of a wild child, discovered in France in 1800.  The experiments of Winthrop Kellogg and Harry Harlow, both involving the early development of monkeys, are briefly covered.  The case of Jeannie Wiley is explained in detail: she was discovered as a 13-year-old in a house where she had been kept in total isolation by her parents, strapped to a potty chair by day and kept in a cage at night.  She was unable to walk and was never spoken to, so was unable to speak.  Child Psychologist James Kent and Professor of Linguistics Susan Curtiss talk of their work with Jeannie.  In the Ukraine town of Mirny, a 4-year-old boy called Edik who grew up with stray dogs is now living with a foster family.  James Law, Professor of Language and Communication, visits Edik to evaluate his prospects.  Although, with help, rehabilitated feral children are gradually able to empathise and learn single words, they will not be able to learn spoken language and grammar past the age of 4 years.  They will probably have social and emotional problems and difficulties in forming personal relationships.  The programme ends by pointing out that we should be inspired by these children because in spite of the horrendous treatment they have had, they have a kernal of humanity that will not be crushed, and are still willing to put out a hand and touch a new person.</p>",,,,,,https://wellcomecollection.org/works/kjykycnw
