id,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url,video.license
cnddhndt,,['Online'],BMA world tour : Alternative itinerary. Part 5.,['British Medical Association Round the World Tour and Annual Meeting at Melbourne. 1935'],Videos,"1 encoded moving image (16:41 min.) : silent, black and white.",['Encoded moving images'],"['Travel', 'Voyages around the world', 'Singapore', 'Kuala Lumpur (Malaysia)', 'Colombo (Sri Lanka)', 'Java (Indonesia)', 'Bombay (India)', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage shot on the BMA's World Tour. This reel has mostly unique material and begins with views of Singapore harbour. A traffic policeman is seen in operation - the traffic is very light. A garden party is given by the Singaporean branch of the BMA; it's clearly a mixed gathering of Europeans, Asians and Eurasians. There is a snake charmer. Next, onto Kuala Lumpur to visit a leper colony, the tin mines and to see rubber tapping. There is extraordinary footage of a man's heart beating in his open chest cavity. Dr Watson Smith stands by a rubber tree. There are brief exterior shots of the Selangor Club, the BMA headquarters. The next stop is Penang before the homeward journey via S.S. Rajputana to London. At the dockside, boats are loaded. Arriving at Colombo, the group is welcomed by the Ceylon branch of the BMA. Then onwards to Bombay - another sequence of a snake charmer. Venom is extracted (duplicate material). There is a reception by the Bombay branch of the BMA together with mute footage of the meeting.</p>",,1001.0,,,,https://wellcomecollection.org/works/cnddhndt,Public Domain Mark
dzcsercm,,['Online'],"The Wellcome Trust in Thailand : malaria, rabies and snakebite.",,Videos,"1 encoded moving image (7.40 min.) : sound, color",['Encoded moving images'],"['Snake Venoms', 'Tropical Medicine', 'Rabies', 'Quinine', 'administration & dosage', 'Malaria', 'drug therapy', 'Mahāwitthayālai Mahidon. Khana Wētchasāt Khētrō̜n']",,"UK, 1987.",,"['UK,']",['English'],"<p>Portrays the work of the Wellcome Trust-supported clinical research unit for the study of severe malaria, rabies and snake-bite in the Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Shows clinical studies of intravenous quinine therapy in cases of severe malaria, the use of tissue culture in the production of rabies vaccine and the management of patients bitten by Malayan pit vipers.  2 segments.</p>",,460.0,,,,https://wellcomecollection.org/works/dzcsercm,Attribution 4.0 International (CC BY 4.0)
nrv7pvyp,,['Online'],Wellcome Film showreel.,,Videos,"1 encoded moving image (06:34 min.) : sound & silent, black and white & color",['Encoded moving images'],,,"UK : JCA.tv Ltd, 2009.",['JCA.tv Ltd'],['UK'],['English'],<p>Showreel to launch Wellcome Film with a variety of clips from the digitised collection.</p>,,394.0,,,,https://wellcomecollection.org/works/nrv7pvyp,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
vfy3by4c,,['Online'],The field worker in Indonesia. : Meeting the people.,,Videos,"1 encoded moving image (18:41 mins.) : sound, black and white, 16mm",,"['Population', 'Population Growth', 'Family Planning Services', 'Population Control', 'Indonesia', 'International Planned Parenthood Federation']","['Bucher, Miriam', 'Harto, Sondang H.', 'Soejatni, Dra.', 'Sundarl, Dra.', 'Tera, Max.', 'International Planned Parenthood Federation']",[1957?],,,['English'],"<p>A training film made for Indonesian field workers (with opening credits and dialogue in Malay) which has been repurposed to show their work to other parts of the world. A young woman (Jati) who is a family planning field worker visits the chief administrator of a village to make sure that she is welcome there. With the information she is given, she identifies a family to visit to discuss contraceptive advice. She meets the mother of three young children and agrees to a meeting. The field worker recommends that children are paced two or more years apart as the mother has been unwell and the youngest baby is failing to thrive. The mother has a visit from her mother-in-law and another woman who are a bit sceptical; Jati agrees to return later and speak to the mother with her husband. A young couple with less money discuss the issues around having a large family. The field worker shows the couple the different methods of contraception and ascertains the level of interest for each type. She leaves some literature and a paper fan as a souvenir of the visit. She next visits a woman fitted with an IUD; the woman reports a few side-effects and Jati notes them down. Jati returns to the first house and tells the husband about pacing pregnancies. The traditional 'dukun' or midwife passes the field worker and they greet each other amicably. The fieldworker writes up her notes. Field workers meet together and debrief each other on their experiences.</p>",,1121.0,,,,https://wellcomecollection.org/works/vfy3by4c,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
ers2jdde,,['Online'],BMA world tour : Alternative itinerary. Part 4.,['British Medical Association Round the World Tour and Annual Meeting at Melbourne. 1935'],Videos,"1 encoded moving image (16:41 min.) : silent, black and white.",['Encoded moving images'],"['Travel', 'Voyages around the world', 'Indonesia', 'Australia', 'Bali (Indonesia : Province)', 'Java (Indonesia)', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage shot on the BMA's World Tour. This reel begins with duplicate material of 'Leaving Melbourne for Sydney and Jenolan Caves on SS Nieuw Zeeland'; the group splits into two parties. One party travelled on the SS Marella via Port Darwin to Java and Singapore and the other via Bali. The film follows the group who go to the caves, travelling along the coast from Sydney to Port Darwin. There is a long shot of a man throwing a boomerang. More larking about on board ship is seen before arrival at Port Darwin. In a hangar, there is a shiny silver Qantas airline plane. Aboriginal men perform for onlookers. The arrives in the Dutch East Indies and Bali. The Bali material is unique to this itinerary. The group arrive at the time of a celebration and Buddhist funeral; there is traditional dancing. In Java there is a funeral procession which is a very simple affair. There are local boys dancing and ram fighting in Ngamplang. At Djocja there is footage of the Sultan's bodyguard and scenes at the impressive Borobudur Temple. A large group of tourists gather and the camera pans across the group.</p>",,1001.0,,,,https://wellcomecollection.org/works/ers2jdde,Public Domain Mark
r26hknzq,,['Online'],BMA world tour. Part 4.,,Videos,"1 encoded moving image (15.22 min.) : silent, black and white",,"['Travel', 'Voyages around the world', 'Indonesia', 'New Zealand', 'Australia', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage shot in the fourth part of the BMA's World Tour as they travel via New Zealand. They receive a Maori welcome at Rotura. There is footage of the volcanic springs; children bathe in the hot pools of water. Back on board ship, passengers play quoits and swim. The ship arrives in Sydney and goes under the famous harbour bridge. Koala (spelt Kuala) bears are shown feeding. There are establishing views up Collin Street, at the zoo, Parliament Street and Central Railway Street. An intertitle announces, 'Leaving Melbourne for Sydney and Jenolan Caves on SS Nieuw Zeeland'; the group splits into two parties. One party travelled on the SS Marella via Port Darwin to Java and Singapore and the other via Bali. The film follows the group who go to the caves, travelling along the coast from Sydney to Port Darwin. There is a long shot of a man throwing a boomerang. More larking about on board ship is seen before arrival at Port Darwin. In a hangar, there is a shiny silver Qantas airline plane. Native Aborginal men perform for onlookers. The final shot is of sunset shot from the ship as the ship arrives in the East Indies.  1 segment.</p>",,922.0,,,,https://wellcomecollection.org/works/r26hknzq,Public Domain Mark
gmzq679e,,['Online'],"Deficiency disease in P.O.W., Royal Naval Hospital, Sydney.",,Videos,"1 encoded moving image (11 min.) : sound,black and white",,"['World War, 1939-1945', 'Deficiency Diseases', 'Gait', 'Ataxia', 'Australia']",,"Australia : [publisher not identified], 1945-46.",['[publisher not identified]'],['Australia'],['English'],"<p>This film shows symptomatology and treatment of deficiency disease in internees and prisoners of war from Hong Kong and Singapore interned by the Japanese between 1941 and 1945. There is a sound narrative as well as rolling intertitles. The clinical features shown include optic atrophy and corneal scarring, foot-rot, loss of proprioceptor sensation and knee reflexes, ataxic and hysterical gaits, unilateral anaesthesias (a man is pricked many times on his legs and feels nothing) and paraesthesias, muscle wasting and ""nerve-deafness"". The patients perform some physiotherapy as a group. It is noted that the patients are treated with vitamin therapy. Unfortunately many of the neurological changes have proved to be permanent. 1 segment.</p>",,618.0,,,,https://wellcomecollection.org/works/gmzq679e,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
nmdhnakp,,['Online'],Survival at sea.,,Videos,"1 encoded moving image (22:12 mins.) : sound, black and white",,"['Life rafts', 'Survival', 'Physiology']","['Royal Naval Personnel Research Committee.', 'Department of Experimental Medicine, Cambridge.']",1953,,,['English'],"<p>A record of experiments carried out by the Royal Naval Personnel Research Committee and the Department of Experimental Medicine, Cambridge, during 1950-51 (opening intertitle). To guard against exposure, experiments are carried out in the Arctic, Britain and the tropics on a self erecting inflatable raft. An inflatable exposure suit is also tested. The first experiments of the inflatable raft took place at Tromsø Fjord, Norway in February 1950 over five days. There is time for recreation skiing. In Harwich, different styles of 'tent' are tried with a mass exodus from the quayside. In Cambridge, the tent self-erects at a college swimming pool. The men clamber in. Boarding proves to be difficult for one untrained man wearing a life jacket. A rope scrambling net is added; followed by an armhold; followed by a ladder. A single man proves that he can right the capsized dingy. Singapore 1950, the experiments on the dinghies continue in the tropics. The men are mustered so that they can be examined briefly in turn (they are all in  good health). Rosyth 1951, despite cold external temperatures, the interior of the tents become very hot; the temperature is recorded via a series of equipment. North Sea 1951, the evacuation of a ship onto life rafts takes place. Further modifications are made to the latest raft in 1953. Experiments to address seasickness are abandoned due to exceptionally heavy seas. They resume later in a swimming pool with a wave making machine with volunteers.</p>",,1332.0,,,,https://wellcomecollection.org/works/nmdhnakp,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
dsqbwmx2,,['Online'],BMA world tour. Part 7.,,Videos,"1 encoded moving image (07.06 min.) : silent, black and white",,"['Travel', 'Voyages around the world', 'Malta', 'Gibraltar', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage of the homeward journey by the party. The first stop is the island of Malta. Local boys offer to dive for money. The ship is met by boats shaped like gondolas. The ship goes onto Gibraltar. There are views of the war memorial and the docks. Troops are on the parade ground. The rock of Gibraltar is seen and a Moorish Castle. A number of people with linked arms stroll to the camera on deck of the ship before the travel book is closed and the lettering on the journal regarding Pickfords travel services commends itself to the viewer. A charming touch is the travel journal being closed.  1 segment.</p>",,426.0,,,,https://wellcomecollection.org/works/dsqbwmx2,Public Domain Mark
agwskkft,,['Online'],BMA world tour. Part 6.,,Videos,"1 encoded moving image (16.50 min.) : silent, black and white",,"['Travel', 'Voyages around the world', 'Yemen (Republic)', 'Sri Lanka', 'India', 'British Medical Association']",,"UK, c.1935.",,"['UK,']",,"<p>This amateur film, which has been edited semi-professionally with additional intertitles and maps to orientate the viewer, consists of footage of the homeward journey by the party on SS Rajputana, P&O steamship from Penang to London. The party arrive at Colombo, Ceylon for a meeting of BMA members. There is a traditional performance of male dancers. In Bombay, an Indian snake charmer is seen in action. Venom is shown being extracted from a snake. The Bombay branch of the BMA greets the party; the meeting itself with the speeches is seen. The party bid farewell to their South African 'friends' (fellow passengers. A newspaper stand proclaims 'Italian Offensive Resumed'. Next stop; Aden. A seaplane flies overhead and there are lots harbour views. Travelling by road, there are donkey-drawn carts going the other way and more point of view shots of the road. The Tanks at Aden are shown. They next travel to the oasis and the salt works by car before entering the Suez canal. An overland party travels to Cairo. They travel past the Mena House Hotel, pyramids and Sphinx at Giza - some of the party are on camels. There are shots in the bazaar in Cairo, however, the exposure is quite poor and the image very grainy. There is a felucca on the Nile. Next, Port Said. End of Part 6 intertitle.</p>",,1010.0,,,,https://wellcomecollection.org/works/agwskkft,Public Domain Mark
