id,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
x6subbyc,WT/D/1/20/1/47/5,"['Online', 'Closed stores']","M0005695: Melanau sickness boat, Sarawak, Malaysia","['Previous title, replaced November 2021: Sickness boat, Lanchang, Milano Sarawak']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,['Traditional medicine'],,23 September 1938,,,,"Reproduction of a photograph of a model of a lancang (lanchang), a type of sailing ship, used by the Melanau people of Sarawak, Malaysia, to hold a dakan which is then floated down the river. A dakan is a carved sickness image. The photograph was published in <i>Journal of the Royal Anthropological Institute</i>, also known as <i>Man</i>, volume 38, 1908. A photograph of the image was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10936).",,,,In copyright,"https://iiif.wellcomecollection.org/thumbs/b33186121_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/x6subbyc
nq3jrd2r,WT/D/1/20/1/47/45,"['Online', 'Closed stores']","M0005734: Melanau traditional healer from Sarawak, Malaysia","['Previous title, replaced August 2020: Illustration of Witch Doctor and apparatus from Journal of R. Anthropology Institute']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,"['Traditional medicine', 'Indigenous peoples']",,23 September 1938,,,,"Reproduction of a photograph published as plate 34, figure 4 in Lawrence, A.E: ""Some Aspects of Spirit Worship Amongst the Milano of Sarawak"", <i>The Journal of the Royal Anthropological Institute of Great Britain and Ireland</i>, vol.38 (1908) with the caption ""Witch Doctor and Aparatus"". Milano refers to the Melanau ethnic group. A photograph of figure 4 was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10962).",,,,In copyright,"https://iiif.wellcomecollection.org/thumbs/b33182644_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/nq3jrd2r
wxd3nhf8,WT/D/1/20/1/45/24,"['Online', 'Closed stores']","M0005511: Peace-making between the Baram and Batang Kayan tribes, Marudi, Malaysia","['Previous title, replaced November 2021: Peace-making between the Baran and Batang Kayan tribes']",Archives and manuscripts,1 photograph glass plate negative; 12 x 16.5 cm,,['Indigenous peoples'],,4 August 1938,,,,"Reproduction of a group photograph taken at Claudetown (now Marudi), Malaysia. Published in Hose, Charles: <i>The pagan tribes of Borneo</i>, London, 1912. A print of the photograph was acquired by the Wellcome Historical Medical Museum and accessioned in 1938 (accession number PHO 10798).",,,,Public Domain Mark,"https://iiif.wellcomecollection.org/thumbs/b33185773_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/wxd3nhf8
n7dfgej3,21439i,"['Closed stores', 'Online']","Chinese people driving away evil spirits at Malacca, Malaysia. Wood engraving by D. Macpherson, 1891.",,Pictures,1 print : wood engraving ; image 18.7 x 19.7 cm,['Wood engravings'],"['Exorcism', 'Fire', 'Ritual', 'Rites and ceremonies', 'Spirits', 'Demonology', 'Costume', 'Malaysia', 'History', '19th century', 'Malacca (Malacca, Malaysia)']","['MacPherson, Douglas, 1871-1951.']","[London] : The Daily Graphic, 12 November 1891.",['The Daily Graphic'],['[London]'],['English'],,"Casting out demons at Malacca: burning the junk by which the evil spirits are returned to their native regions. D. Macpherson.

The print has extensive accompanying text which describes the incident",,['w8j7zfvb'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0015981/full/300,/0/default.jpg",https://wellcomecollection.org/works/n7dfgej3
dv5ar6q7,568728i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: an arcade of shops with a road sweeper at work in the street. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,Neighbourhood in which sporadic plague and urban tropical typhus occur. Shows the open drain which runs in front of the houses being swept out. Presented by Dr. William Fletcher,,['yvxs8x7m'],In copyright,"https://iiif.wellcomecollection.org/image/V0030511/full/300,/0/default.jpg",https://wellcomecollection.org/works/dv5ar6q7
jaez9bre,568731i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: a food shop interior with Malay staff, where an outbreak of typhus occurred. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,A native food-shop where urban tropical typhus occurred,,['nbmpq2n4'],In copyright,"https://iiif.wellcomecollection.org/image/V0030513/full/300,/0/default.jpg",https://wellcomecollection.org/works/jaez9bre
mxk4kxbf,564247i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: three men in pale-coloured suits holding up pipes blocked with grass roots. Photograph, 1910/1920 (?).",,Pictures,1 photograph : photoprint ; sheet 10.7 x 13.9 cm,['Photographic prints'],,,1910-1920,,['Malaysia'],['English'],,"Anti-malarial work, Kuala Lumpur. Showing blockage of pipes by grass roots, the result of laying pipes less than three feet below the surface. From Dr. A.R. Wellington",,['r8w8q98y'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0030273/full/300,/0/default.jpg",https://wellcomecollection.org/works/mxk4kxbf
svsfqjhm,568718i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: busy street scene showing the K. Mohamed Kassim eating house where a case of typhus occurred. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,An eating house where a case of urban tropical typhus occurred,,['hk5bfnjz'],In copyright,"https://iiif.wellcomecollection.org/image/V0030512/full/300,/0/default.jpg",https://wellcomecollection.org/works/svsfqjhm
dxz9hws9,678074i,"['Closed stores', 'Online']","A message about AIDS prevention in red and yellow Malay lettering against a blue background by the Kementerian Kesihatan Malaysia (Malaysian Ministry of Health). Colour lithograph, 1991.",,Pictures,"1 print : lithograph, printed in colours ; sheet 59.4 x 41.8 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Malaysia']",,"(Malaysia) : Kementerian Kesihatan Malaysia, 1991.",['Kementerian Kesihatan Malaysia'],['(Malaysia)'],['Malay'],,"AIDS Pembunuh ... Oaptakan Nasihat doktor anda jika ada kemusykilan. Diterbit oleh Unit Pelajaran Kesihatan, Kementerian Kesihatan Malaysia.

Lettering in Malay - not translated",,['zrukwux6'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780747_l0054541.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/dxz9hws9
a6meam8j,568733i,"['Closed stores', 'Online']","Kuala Lumpur, Malaysia: a food shop with Malay staff, showing open sacks and boxes of produce, in an urban area prone to outbreaks of typhus. Photograph, 1915/1925.",,Pictures,1 photograph : photoprint ; sheet 15.5 x 20.2 cm,['Photographic prints'],['Kuala Lumpur (Malaysia)'],,1915-1925,,['Malaysia'],['English'],,Cases of urban tropical typhus have occurred in the neighbourhood of this shop. Presented by Dr. William Fletcher,,['b75pd3k3'],In copyright,"https://iiif.wellcomecollection.org/image/V0030514/full/300,/0/default.jpg",https://wellcomecollection.org/works/a6meam8j
